cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
ND-00,77871,103487,45281,637108,427335,419172,8163,8535,419172,35552,29532,31181,11293,48184,23897,5410,22400,32625,106337,32792,18889,21080,777259,730141,616050,221960,47118
OH-01,82099,120717,51090,647228,433257,415231,18026,820,415231,1131,18413,54582,8983,44049,15258,4615,32743,62201,102683,42313,14960,13300,799298,749014,571881,259371,50284
OH-02,67801,88968,36371,641640,376464,362295,14169,618,362295,3479,30657,51808,7388,45974,23746,3383,18458,32722,87471,25521,16200,15488,773699,725100,489720,335895,48599
OH-03,72896,105825,45498,633883,437327,418045,19282,190,418045,1884,18165,24817,8271,46347,30129,6241,34992,56076,113340,40866,18824,18093,783569,710439,515456,258044,73130
OH-04,81278,108034,42699,649308,405592,392121,13471,412,392121,5416,24495,77098,7013,39366,18613,5231,26541,36892,88981,27151,18720,16604,789190,738546,569742,267146,50644
OH-05,73004,90010,37102,644944,404659,392017,12642,523,392017,7051,26609,81016,7045,39868,18356,5830,16457,33682,93314,29571,17482,15736,786815,744744,562011,290068,42071
OH-06,60716,78924,34151,640460,366428,351798,14630,233,351798,5895,22880,52687,6492,42161,20641,4468,15071,28726,94647,27849,15064,15217,757265,711982,486650,337517,45283
OH-07,84749,113416,47233,642508,416682,405201,11481,196,405201,3948,23928,64072,9270,41196,18445,5451,34243,43740,93433,32707,19433,15335,781635,734742,566443,265474,46893
OH-08,78375,101885,40132,635611,408634,392357,16277,1258,392357,3710,24367,63312,8051,45206,22128,5112,27808,36746,94670,33012,16600,11635,783320,734219,552782,281083,49101
OH-09,66802,89057,39024,629682,394176,376580,17596,167,376580,3525,20266,67873,6539,42090,23937,4517,17004,29555,93921,37437,17307,12609,767140,729975,512863,322435,37165
OH-10,69377,90759,39052,643365,402182,380222,21960,6979,380222,1567,18938,49335,4543,40870,21859,6182,19072,43456,97779,32662,18055,25904,775445,721854,504971,317031,53591
OH-11,56120,82120,38545,626348,400892,377643,23249,596,377643,302,14746,42373,6590,38085,24344,6122,31985,42863,105478,36566,16072,12117,750653,696513,420167,361346,54140
OH-12,78547,100655,38705,653820,405273,390525,14748,711,390525,6495,32320,48729,8615,42921,23034,5034,28969,33828,91965,32856,18948,16811,804083,734001,542521,290558,70082
OH-13,70528,93397,40493,639866,405826,390354,15472,557,390354,1097,23480,55396,8592,44433,23307,4749,20343,41379,103462,31341,19682,13093,776593,733614,515772,312656,42979
OH-14,73552,97853,41818,651704,405233,389605,15628,604,389605,3541,27849,66497,7737,42488,20003,2992,25206,35794,90785,34908,16852,14953,774298,724870,527456,296990,49428
OH-15,80864,102261,41642,654307,436111,421332,14779,745,421332,3153,27963,47507,8904,46459,26892,6650,31748,49573,99645,34203,19293,19342,811167,741931,538210,286507,69236
OK-01,71143,99295,40073,649705,424133,404972,19161,1414,404972,6176,30571,44283,8385,41440,29289,6687,27579,45731,94515,36419,19699,14198,819293,721885,523385,288824,97408
OK-02,56060,74992,29532,649290,350694,332908,17786,481,332908,13588,24116,35981,6142,38198,20153,3665,14800,24089,79861,31203,16578,24534,795163,686688,423712,369742,108475
OK-03,59917,79472,31263,628156,379929,360114,19815,4099,360114,23852,28994,32304,7434,44015,26810,4017,14808,28401,78187,31353,18398,21541,776877,678652,465431,312975,98225
OK-04,67377,87560,34831,660264,395682,378321,17361,13326,378321,12798,24595,29744,6374,44142,21497,5173,15837,37074,96084,33715,19826,31462,792758,709287,523154,299927,83471
OK-05,76260,107367,43359,661552,425676,407246,18430,2056,407246,9641,31341,23404,8489,43202,21940,7149,24100,47404,100951,36540,20499,32586,825376,751071,570378,284396,74305
OR-01,97201,125955,54277,602125,401494,383154,18340,565,383154,5458,21558,58859,6473,38436,15512,8507,20507,55047,89510,32012,18273,13002,711620,675497,517483,241566,36123
OR-02,68267,89174,37059,579535,323647,307624,16023,781,307624,18183,23009,24176,3491,41073,15777,3093,13082,25529,76335,30039,16369,17468,691402,652008,412877,371405,39394
OR-03,94110,119174,49103,584610,401683,380323,21360,714,380323,9233,25105,34114,8007,41140,21755,7834,15863,55802,89824,35555,18652,17439,694725,657740,467189,260139,36985
OR-04,69445,91926,39582,609574,348352,329018,19334,491,329018,8169,17881,29011,4610,38836,15627,5003,16287,35096,94891,34448,16852,12307,707485,670661,439556,344946,36824
OR-05,96200,127013,51113,591419,376391,360455,15936,340,360455,6682,31716,33325,8117,45450,18369,5151,22464,41238,82610,30663,18415,16255,713056,681939,496241,284996,31117
OR-06,90927,113049,43697,586569,380417,363069,17348,131,363069,10750,29767,40606,9705,41077,15202,4961,20736,40160,82706,27070,16897,23432,709059,670116,478538,282524,38943
PA-01,112090,148699,58706,638470,422280,408351,13929,401,408351,1330,27591,50588,9865,48295,17003,7532,29145,61943,101032,25129,17244,11654,760505,729435,597392,238336,31070
PA-02,57907,81687,33373,590199,372462,350306,22156,494,350306,1148,16613,25160,6231,34706,25060,4840,18858,44235,101937,35547,20813,15158,732277,664270,392075,347928,68007
PA-03,65154,97365,46293,637668,424691,400499,24192,581,400499,1022,10565,20293,3817,33855,20145,9863,24287,65905,138315,35045,20073,17314,762688,722174,490056,310568,40514
PA-04,108414,149756,59042,647697,433943,417566,16377,257,417566,1398,25146,51241,8808,41805,18583,7351,41597,61693,102155,26663,18614,12512,773151,748019,624535,236030,25132
PA-05,85873,128810,50803,617676,404518,384016,20502,77,384016,1066,19755,26537,6800,43612,22745,6475,31305,52214,113659,27808,17229,14811,760881,725855,560108,280359,35026
PA-06,109810,148478,56003,644476,427188,405641,21547,595,405641,4949,23283,46218,9508,39407,18788,6521,42242,59696,95841,28329,19284,11575,789544,738269,586745,252530,51275
PA-07,82166,108337,42707,650339,422085,398709,23376,99,398709,3975,24117,49676,11115,45201,30685,6311,18789,40294,109842,28675,19651,10378,780171,733781,538225,305662,46390
PA-08,69715,94279,38618,643468,381080,361276,19804,139,361276,2830,23158,35633,8809,45303,28144,3712,18918,36676,93265,31520,14570,18738,759541,703647,497111,324725,55894
PA-09,68016,88622,37008,637228,382578,363506,19072,933,363506,9570,27012,54057,8076,45873,20872,3054,14150,28440,91916,27365,16714,16407,753034,704987,514125,314237,48047
PA-10,81071,106244,43511,646213,416481,403100,13381,2088,403100,4311,20497,37617,11740,45322,28291,3498,23994,48247,105772,27467,18188,28156,779105,733416,558527,294596,45689
PA-11,85402,110967,43922,628915,413181,399921,13260,222,399921,8146,32701,57508,10795,46535,20259,4951,19663,42128,96104,28064,19703,13364,774436,701118,542691,265859,73318
PA-12,74565,104132,47834,645911,412501,392535,19966,310,392535,1836,20358,32272,5708,39767,20100,6540,33271,49841,118014,33479,17844,13505,747074,716822,539259,291316,30252
PA-13,70192,87573,36618,633688,382791,370465,12326,727,370465,9708,26253,49434,5954,42832,25714,4159,15584,31600,92354,28075,19875,18923,757241,700013,520878,303574,57228
PA-14,67410,87600,38054,633919,365679,352369,13310,440,352369,9126,26036,42198,8194,42020,24140,4230,16108,31161,89432,29883,16197,13644,736038,701715,501741,331876,34323
PA-15,65193,84087,34710,639009,363920,351245,12675,239,351245,8016,23100,49545,4750,40382,19417,3075,10397,24004,108355,27462,17917,14825,734981,688914,514462,301052,46067
PA-16,67473,92311,39297,631148,372943,357622,15321,568,357622,4479,22661,54305,5897,41377,17281,5399,21723,32332,93199,26149,17637,15183,744764,704387,513857,308584,40377
PA-17,88580,117590,51816,619508,404246,389852,14394,524,389852,1913,21238,32388,8538,39637,21623,6502,35132,58197,108234,27208,16966,12276,748152,724195,577231,268794,23957
RI-01,77683,106561,44839,466349,300323,287087,13236,2996,287087,1199,15137,29419,6336,28675,13991,4931,16014,33743,71362,38760,15551,11969,546713,519598,366774,226631,27115
RI-02,92127,122707,49678,469448,309718,292199,17519,700,292199,1937,17296,33186,5264,34058,13131,4625,17918,32017,74589,35175,12519,10484,549941,526409,390801,212605,23532
SC-01,95136,130878,54296,650969,396488,386235,10253,19904,386235,1316,33078,37098,6219,39945,23993,7272,24970,64456,80037,32506,20301,15044,773667,719207,589757,261636,54460
SC-02,77683,101885,41658,618774,384369,364693,19676,10508,364693,2984,28299,37562,6156,36994,26074,4477,23990,44412,82906,28147,18551,24141,749709,684117,522059,274782,65592
SC-03,65919,88289,36241,632654,368595,349508,19087,365,349508,3390,27474,60880,6643,42058,16679,2628,15385,35313,84769,24626,19205,10458,757108,690877,503128,286038,66231
SC-04,78299,101948,40619,648985,421941,404107,17834,359,404107,1412,26245,66464,8372,46512,20370,7433,26568,55082,81028,34926,20394,9301,802927,725842,539353,274745,77085
SC-05,75344,98599,39218,624650,385759,371252,14507,5563,371252,3329,26344,54243,8992,38058,24521,5729,31452,37914,77669,27268,21466,14267,770191,704035,534628,285815,66156
SC-06,58458,80563,34281,635446,383107,363311,19796,5610,363311,3004,26646,37746,5625,40868,22762,7218,21264,43158,81127,39973,18005,15915,740636,665027,465065,308612,75609
SC-07,61149,81780,34656,665618,359870,339423,20447,732,339423,3463,24357,32972,6553,49280,17053,5007,20408,32182,82067,38880,15324,11877,785743,708908,473747,367884,76835
SD-00,76881,100178,41637,733633,494515,480631,13884,3626,480631,28341,37452,44493,10512,56259,21356,6900,29086,37163,118945,42830,22093,25201,905334,831931,662280,290371,73403
TN-01,60591,79299,33712,668768,383204,368825,14379,159,368825,2444,30926,52892,4924,46964,21654,2902,19661,34624,77970,45017,14718,14129,788382,702580,468755,346658,85802
TN-02,72659,100349,41764,671785,416964,404197,12767,1137,404197,2301,29607,42899,8793,48779,20614,7552,26708,48104,96020,39234,21317,12269,808388,743668,567124,271804,64720
TN-03,74530,98432,40348,663797,406202,385728,20474,681,385728,2537,31984,54747,6865,40699,31454,4813,24973,41155,81891,32570,16431,15609,799965,726154,536573,302098,73811
TN-04,73896,97673,37523,659485,425862,404027,21835,564,404027,4072,30354,66052,7539,49111,29365,5605,21647,41631,78937,34113,17750,17851,818541,733328,552636,286663,85213
TN-05,96192,136607,54025,660163,457645,443621,14024,426,443621,2400,37741,35349,9857,48970,19986,7746,34240,69800,103404,38881,19772,15475,830485,743597,618750,202086,86888
TN-06,72083,95620,39709,649254,410705,396570,14135,344,396570,3407,29620,41334,7693,46509,28811,8175,22130,47278,88754,38353,17300,17206,794977,717909,530201,276408,77068
TN-07,79222,107868,45269,666796,435158,419888,15270,15555,419888,3674,33233,40909,7902,42967,22986,7712,24944,50282,104595,40972,18363,21349,791680,728449,574277,245690,63231
TN-08,70081,103810,42078,627439,374895,359627,15268,623,359627,5506,22063,56122,9579,41428,23006,3637,19439,28797,87687,25747,18846,17770,757535,697698,509396,288076,59837
TN-09,55603,75661,30960,582823,370068,342637,27431,562,342637,993,19327,24384,8948,42251,49057,2781,14495,34271,79122,31504,16667,18837,741260,647147,404521,312964,94113
TX-01,66563,86545,33443,628309,377307,358606,18701,91,358606,12497,29609,43762,7779,40847,22547,5704,17628,28299,87249,31495,19764,11426,779360,660732,474507,278424,118628
TX-02,101405,135308,47330,678458,455392,438918,16474,463,438918,11954,33025,42878,11035,45199,43388,4103,25741,60893,85078,37711,23371,14542,880309,754768,615044,208569,125541
TX-03,124853,156607,55662,725806,506515,484644,21871,524,484644,3852,22485,44342,8755,51871,21491,14922,60886,86028,98476,35276,23969,12291,915911,826412,716118,183562,89499
TX-04,99301,134898,51513,684527,464080,446923,17157,920,446923,6408,29493,42691,10347,48750,19830,10141,51133,70592,92332,31147,22420,11639,866269,761194,635456,202914,105075
TX-05,75301,93453,32744,661791,414285,393833,20452,519,393833,6947,45874,40541,7330,43338,27934,6204,26965,41122,83485,32490,19891,11712,848487,681172,491078,262525,167315
TX-06,81604,105472,36629,661494,430936,410546,20390,1071,410546,6691,39154,44681,6397,44110,36363,4847,25255,47193,85469,33818,21605,14963,829558,676378,526632,222798,153180
TX-07,75245,132183,54739,620136,436291,414249,22042,504,414249,7954,23127,30659,9408,38920,26498,8106,33695,72208,94921,34099,25385,9269,765824,631857,486717,196841,133967
TX-08,91806,119865,42299,737016,490675,463632,27043,130,463632,13895,37655,46159,9691,52666,32743,6465,27212,67595,95899,33179,26252,14221,939225,794435,639553,235359,144790
TX-09,62248,88528,32535,626670,417235,388329,28906,113,388329,4446,42268,28724,9612,37237,30357,3470,19784,47447,92966,36547,22062,13409,819435,640670,433686,262657,178765
TX-10,89284,132560,50552,672438,412095,395652,16443,1824,395652,7924,34564,34754,8974,36457,17939,6852,25240,58520,94113,34606,17752,17957,816965,719087,598811,216821,97878
TX-11,71363,96233,37627,610907,385573,367818,17755,14702,367818,32302,27029,30938,7051,43566,28008,4294,21924,31982,76809,26794,19203,17918,779232,650813,506033,242914,128419
TX-12,90319,119685,45316,674605,458314,436856,21458,2574,436856,6029,35949,46236,10634,49570,33564,4722,31615,53538,90254,38537,21021,15187,841628,724561,600190,202352,117067
TX-13,69873,91562,35704,635546,403939,387808,16131,6787,387808,14473,29421,43239,8541,46800,26227,4124,20940,30130,90033,34251,19855,19774,770527,651258,510874,226440,119269
TX-14,77652,104337,39344,622933,376161,356352,19809,1336,356352,4246,34454,46065,7020,36405,27821,3784,18026,32335,84230,30223,17233,14510,759116,644877,487565,238109,114239
TX-15,62554,84167,27972,604703,372603,351380,21223,1253,351380,10689,35468,22441,8842,43659,24832,3245,16013,29811,91043,30976,17083,17278,799156,622523,411683,261366,176633
TX-16,60456,80437,29687,614382,371162,353624,17538,14542,353624,4107,25397,23630,7956,39395,26840,6574,19950,39575,87316,33999,16721,22164,761929,600865,417899,248759,161064
TX-17,69771,93516,35584,643849,403688,385856,17832,1026,385856,9402,29593,40734,6842,42547,24069,6714,22058,40027,89621,33303,17738,23208,773927,661250,510156,238374,112677
TX-18,66803,99739,36961,647473,438423,403824,34599,97,403824,5597,43462,36001,8546,41385,33840,4545,25155,57424,80789,36451,19385,11244,811345,602998,411819,240103,208347
TX-19,64889,88160,33740,616424,385314,369659,15655,5303,369659,21776,28417,22176,8318,44129,20728,6144,20101,28215,102603,30055,19838,17159,756322,636664,483228,231374,119658
TX-20,62044,80342,30155,604917,401223,377177,24046,6277,377177,3381,35176,22298,3429,43830,25427,4498,33078,48769,85814,40924,16913,13640,757998,610191,439382,245263,147807
TX-21,100260,137621,56364,699617,441517,426831,14686,8884,426831,5941,31095,19770,7918,52884,21212,8109,45648,63968,92736,37310,19584,20656,831462,746764,621810,246140,84698
TX-22,115961,147726,50540,691561,462547,439987,22560,1159,439987,16956,30169,48276,9532,42668,27984,6454,25635,63547,103581,31773,18860,14552,886904,793492,677787,193105,93412
TX-23,81908,111830,38382,614913,362269,346577,15692,15926,346577,17904,24027,19553,4775,36844,20480,5664,30224,36243,81994,26205,13770,28894,772162,668372,520083,236916,103790
TX-24,119295,177039,66661,605401,417706,403245,14461,308,403245,3576,24048,31227,8737,39529,38226,7779,43195,66997,81987,28523,20081,9340,769326,690543,598227,163084,78783
TX-25,80242,106668,39701,663369,423655,405267,18388,517,405267,8837,29855,36817,9175,45076,33783,7465,29366,40946,92673,34419,19289,17566,819059,691852,532804,241847,127207
TX-26,122953,154473,57712,707531,503588,483689,19899,542,483689,3199,26108,43040,11089,52060,35338,12322,59397,82287,90959,31192,20738,15960,881866,795740,702482,166258,86126
TX-27,69138,92854,35606,630337,379865,365301,14564,1127,365301,10681,42323,29326,6701,34435,22547,4445,18373,37781,85021,32413,18561,22694,776210,646141,458338,271297,130069
TX-28,64511,84576,28641,622678,385634,365133,20501,4262,365133,8934,30466,20044,7233,46653,37458,4323,16873,37621,81127,34791,19141,20469,814902,658814,427590,296431,156088
TX-29,54102,72626,24529,576312,364464,342105,22359,343,342105,4347,60007,33406,8124,35303,31458,2779,12494,42831,54041,28714,22310,6291,754630,505728,291786,247604,248902
TX-30,77231,102547,39154,625102,421296,394540,26756,767,394540,2421,26038,29531,6441,40012,37244,7491,38001,54815,83889,36287,18922,13448,775818,627005,450007,231511,148813
TX-31,96045,124294,45718,708231,443541,425050,18491,17117,425050,4494,38843,40525,7282,47555,16274,7601,28524,72060,87412,34250,17406,22824,867157,774774,654471,230909,92383
TX-32,72478,103975,44336,613681,441678,426167,15511,861,426167,2205,34229,36308,8359,41701,31810,9216,40431,71916,83601,38965,20481,6945,762240,604741,463050,181664,157499
TX-33,66107,88864,30522,606943,414824,393976,20848,224,393976,1514,54333,44809,10439,44585,34728,3275,22418,60050,53431,34883,23459,6052,786808,539562,347125,226950,247246
TX-34,54486,73133,24114,602344,355948,335693,20255,651,335693,7636,30928,22494,6445,36714,22620,3335,13733,32518,96755,31263,14699,16553,788926,600176,356134,290708,188750
TX-35,73298,97520,38873,703466,498799,471588,27211,4782,471588,2109,42773,33292,7236,53800,23204,9455,27851,71652,88858,60693,21808,28857,854880,695897,525801,235734,158983
TX-36,76372,102945,37087,633550,397765,367871,29894,864,367871,6939,31639,47544,7881,38077,25623,4422,20759,41856,74884,33388,20016,14843,803778,647431,464082,249318,156347
TX-37,93776,145238,71055,658560,489557,471379,18178,260,471379,2499,28988,34651,5275,40819,16806,16682,34154,116519,91705,39240,19851,24190,772131,687176,602693,146149,84955
TX-38,98753,148114,56676,633577,428835,409365,19470,261,409365,9975,31671,35167,14138,40796,32438,6457,26244,72969,78587,29723,21945,9255,808531,719973,591638,193339,88558
UT-01,92358,117167,41643,675854,467655,453404,14251,4318,453404,4306,35939,55863,6777,51120,22963,4988,24212,51229,101790,39721,17388,37108,863589,799297,689545,185020,64292
UT-02,90523,111426,39979,694422,466557,447308,19249,1686,447308,6097,38121,44207,7389,51289,28599,5898,29482,57860,97344,43860,20403,16759,871142,778434,638504,223619,92708
UT-03,96440,133423,45592,641658,439297,420726,18571,324,420726,6082,33224,29742,7273,44703,17260,8362,33073,66087,104149,36564,18650,15557,826262,767215,648754,188499,59047
UT-04,109469,128876,40295,676344,495216,476702,18514,855,476702,3406,49680,47427,9580,55899,19078,7207,35869,70656,105876,35538,19376,17110,915739,843105,731233,175917,72634
VT-00,82730,109920,48856,553496,358176,348622,9554,688,348622,7170,28195,32642,4586,37547,13851,4535,19490,35565,100084,31110,18240,15607,642759,615657,456037,260439,27102
VA-01,100817,134593,53882,672501,414766,400968,13798,8534,400968,2150,26658,27248,8613,40493,13946,5896,35451,58477,99481,33229,21610,27716,807283,769614,635312,264331,37669
VA-02,93827,120269,48331,636129,389394,377202,12192,31861,377202,4682,26703,28525,6257,40382,13838,3793,24749,49383,94146,32922,18888,32934,748164,699639,566231,257126,48525
VA-03,67625,87486,37335,622749,370542,352926,17616,40360,352926,1219,23448,39611,2604,38975,18782,4474,22050,38497,86639,36983,14976,24668,728913,672698,469420,319396,56215
VA-04,69839,92340,39810,668235,431216,413585,17631,10575,413585,2565,30813,27774,8818,47777,21565,5722,31150,48970,97408,38262,22184,30577,782143,714558,508093,313323,67585
VA-05,73090,101860,42325,673425,392645,380505,12140,1297,380505,7616,29254,33359,3475,43929,17505,4856,20813,42287,105772,29639,21021,20979,786476,740809,532763,323700,45667
VA-06,74264,96895,39951,661591,396791,384086,12705,1024,384086,6892,25960,42048,8834,49392,23150,6520,19476,38125,92397,32348,20814,18130,785919,727588,533865,307950,58331
VA-07,113690,135904,47816,650094,430191,413526,16665,16152,413526,3375,33918,17000,5599,44947,24461,6721,21033,63792,86215,26830,23231,56404,804131,737968,596528,254977,66163
VA-08,133323,183045,78653,646774,463023,447456,15567,13722,447456,411,21380,9537,2439,25094,14164,12770,31013,116057,76964,38419,35385,63823,771557,713676,612241,196141,57881
VA-09,59156,81359,34634,662258,351951,339322,12629,1686,339322,6787,23261,42405,4634,41587,16669,4299,15854,29160,91665,26909,18212,17880,764255,715861,470801,347148,48394
VA-10,157863,188875,63989,636408,454092,438894,15198,2865,438894,2087,31097,17509,4897,34550,16113,13694,30403,115637,77330,33883,21486,40208,815972,758878,662717,183120,57094
VA-11,158109,197157,72403,643532,451874,433419,18455,4639,433419,784,19684,14399,2483,26977,15894,11539,30869,124743,83220,33337,24645,44845,785611,733540,645806,184364,52071
VA-01,131159,184889,73433,657950,456750,438552,18198,1761,438552,2508,25160,45763,6756,47266,16677,25522,28109,93037,85945,31815,16731,13263,804955,764655,634207,202152,40300
WA-02,90998,121302,50618,660771,408379,389559,18820,8960,389559,5605,33404,46014,6631,43217,20260,6491,17074,47561,87484,35101,21893,18824,776438,721281,527763,303796,55157
WA-03,92354,117519,46509,653442,404158,383346,20812,2319,383346,6187,31164,38810,10516,41751,28793,4638,21654,39558,92676,27836,18055,21708,797732,752185,562700,310334,45547
WA-04,78605,99257,35721,613290,374959,350640,24319,640,350640,36231,28026,26123,7573,38259,23549,2715,14051,40383,75595,24985,15103,18047,790380,688020,428532,361549,102360
WA-05,80002,103311,41511,653406,392960,373157,19803,3814,373157,10834,28585,27502,7801,41457,19419,4715,22478,33848,105222,30826,19387,21083,786333,738223,530229,325717,48110
WA-06,94385,118374,50405,666541,376277,359819,16458,13514,359819,3802,22578,28421,8361,39514,20630,5057,18188,46473,83541,31073,19309,32872,775702,736341,551045,330290,39361
WA-07,119340,174529,84901,704888,523524,496447,27077,436,496447,1864,19725,32458,5656,60137,19464,29345,28899,111595,110664,40817,21459,14364,807505,773041,651863,191007,34464
WA-08,130695,175094,63446,628896,407967,391040,16927,415,391040,5174,35529,33078,8625,44897,21351,16102,21992,57898,81404,32186,15677,17127,792559,751018,607771,235787,41541
WA-09,100731,148575,57928,640812,439539,418714,20825,497,418714,3712,27631,37945,7268,49308,34777,13857,21684,66130,86551,39967,17292,12592,769335,711473,519418,264697,57862
WA-10,95458,118437,46374,625495,383172,363338,19834,29421,363338,2853,24558,26349,10133,44630,27759,4902,16122,38867,90070,27665,14009,35421,742351,695362,542400,269421,46989
WV-01,56624,75943,32525,714612,367604,350798,16806,1052,350798,15579,21879,24403,7593,43300,18763,5071,18963,28812,97650,30320,16464,22001,844136,798081,518508,426760,46055
WV-02,64861,86032,36778,755016,436454,415996,20458,1609,415996,11309,25979,33995,6457,48077,27355,5477,22443,34533,111367,36768,19370,32866,891962,837474,588944,384507,54488
WI-01,79452,101359,42858,602557,393611,378616,14995,748,378616,4537,24475,67305,8809,48169,23038,3863,18789,33220,83267,33025,15804,14315,729964,690351,523731,259216,39613
WI-02,88518,116033,51122,632282,442011,432303,9708,467,432303,6428,23472,47367,6272,42081,15207,6270,27998,70414,120031,32127,15412,19224,758661,729931,617544,212590,28730
WI-03,73367,93502,39555,612122,394778,383476,11302,808,383476,13022,21096,62194,6654,51386,20055,3985,21778,31659,91433,29301,16651,14262,730326,691668,542787,268523,38658
WI-04,62083,87217,37492,571549,376392,355539,20853,198,355539,1240,14847,50109,6275,36545,17027,3675,21771,41461,96969,37042,15732,12846,717658,654813,410015,304769,62845
WI-05,91909,118097,50102,617391,413645,403144,10501,720,403144,3889,29514,73011,10095,43984,14136,4942,27577,41335,96581,27099,17735,13246,746195,717399,584170,227599,28796
WI-06,76182,98054,42173,614015,390479,379104,11375,386,379104,9272,24540,90842,6308,42472,16698,4787,18729,32889,75463,24354,18410,14340,727317,693705,542878,256038,33612
WI-07,73003,91994,40279,623469,380070,368827,11243,294,368827,12615,33329,62897,7263,43379,18635,4219,21422,25507,84772,24175,15837,14777,746145,702122,527870,302861,44023
WI-08,78966,100484,42898,609588,396656,389389,7267,343,389389,7617,26317,84120,9076,40444,18711,3875,27427,32383,79761,29259,16437,13962,740802,706543,540992,252920,34259
WY-00,75532,101197,44008,480483,307647,297101,10546,4202,297101,24209,25358,11843,4618,32590,18580,4503,12919,29010,72091,27065,15493,18822,576912,517580,419639,179988,59332
