cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
CT-04,122642,209310,78192,591478,400320,378739,21581,119,378739,1092,25349,27353,7075,32234,13350,11751,46591,66296,89650,28129,20812,9057,735470,674765,506325,240678,60705
CT-05,92097,127500,52071,603337,393059,375093,17966,1277,375093,944,23745,45391,7214,41227,20105,8087,22578,45280,101500,26599,19027,13396,718207,675493,471314,292225,42714
DE-00,87534,114291,45438,863403,535706,508349,27357,4829,508349,4528,34167,38421,11315,52367,27289,5707,47334,59980,138635,45601,19237,23768,1037354,965746,723573,413752,71608
FL-01,77014,106482,42149,663687,390443,370164,20279,26627,370164,2570,33201,18701,4179,44228,21308,3733,31647,45551,78140,45142,17447,24317,776532,692237,523210,291152,84295
FL-02,66684,89319,36295,678228,397657,374356,23301,3062,374356,4423,29870,12635,3966,42889,19341,3890,22491,44069,86264,42016,16576,45926,776712,694219,515773,291378,82493
FL-03,63348,85482,34515,707837,384287,364912,19375,848,364912,6162,30358,15569,5968,43596,18410,5292,19724,35363,107799,33322,15652,27697,811338,737047,532151,321627,74291
FL-04,76209,96168,37978,677385,420260,394477,25783,11119,394477,1821,33438,22814,7120,46181,36251,3791,34767,46977,82143,38410,19587,21177,823795,754051,559737,309024,69744
FL-05,90333,127276,52321,692162,458514,444226,14288,6008,444226,865,30159,25166,11363,52830,23045,7265,53957,64844,99819,41335,19491,14087,841800,775011,642269,231474,66789
FL-06,65999,90461,39124,709486,365783,349943,15840,848,349943,5803,31945,22210,8015,48079,18340,4544,27731,40936,74773,33438,19195,14934,823656,732284,491941,384679,91372
FL-07,82897,108599,43921,673339,421472,404381,17091,1763,404381,588,29958,24110,5507,46058,21928,10807,36773,60680,89291,42443,19781,16457,807381,731876,560355,267675,75505
FL-08,78386,106300,45170,707716,386014,367830,18184,2349,367830,1426,25567,39959,3947,43481,20802,6534,22183,51291,81475,33325,17092,20748,822750,740508,549405,334785,82242
FL-09,81134,99606,35202,729707,497033,470158,26875,816,470158,2151,32879,19528,7579,57752,39381,6364,30480,60219,93987,84682,18446,16710,905953,803254,607741,264490,102699
FL-10,72256,100642,39187,663921,454963,430934,24029,481,430934,1230,29165,25633,6883,47149,30795,6728,26214,62090,88137,73867,20107,12936,792255,690022,527568,217362,102233
FL-11,87147,118808,47262,750703,414957,396528,18429,708,396528,5272,35175,17049,6980,42673,15197,7059,27083,59150,78874,70577,17852,13587,879735,809146,625665,311952,70589
FL-12,68503,91665,37413,729880,389235,371618,17617,1455,371618,1649,29541,18967,7147,49469,21914,5894,33076,51412,86523,29649,19919,16458,862162,781757,545800,362718,80405
FL-13,75904,103940,47875,667785,389995,373993,16002,429,373993,890,24779,28846,7101,42799,18254,6177,38860,54527,77455,39864,19752,14689,752351,682698,498965,303180,69653
FL-14,81076,120866,52274,687214,469439,448595,20844,4372,448595,1806,29843,29850,9485,45504,24848,6408,52742,76733,93916,43612,20486,13362,817774,738976,559192,247061,78798
FL-15,72384,101637,39615,684437,436481,415538,20943,1068,415538,5660,35293,20413,9515,50906,22982,8096,40192,52134,97562,37500,21009,14276,828373,739062,556161,272265,89311
FL-16,88995,117851,47436,723389,435364,418435,16929,2072,418435,6375,34339,25121,10656,47202,24452,6024,37709,66415,82440,39169,19759,18774,875980,776191,581689,319692,99789
FL-17,79214,111924,49455,758524,381061,368469,12592,148,368469,1501,37167,17427,5290,53247,16807,5092,30075,52023,75050,41251,19111,14428,867377,769213,552102,395982,98164
FL-18,64757,83882,32059,715097,400177,378924,21253,656,378924,13386,36090,22881,7765,51519,23687,4195,23153,42615,73898,42669,17595,19471,860582,736434,502195,335650,124148
FL-19,88378,133325,58180,722460,377368,364819,12549,335,364819,1065,44411,13978,6466,42250,19069,4117,34390,53812,70784,43341,16346,14790,819121,729949,532658,363121,89172
FL-20,70263,87710,32811,659030,438356,414011,24345,219,414011,2206,32923,17782,8627,49980,29207,6153,26425,55988,93811,48624,21392,20893,810173,699760,469650,285672,110413
FL-21,86626,120315,50232,726747,410752,392214,18538,1030,392214,1924,31217,23905,7182,45493,24517,4195,27131,66000,80294,42590,23594,14172,851357,761638,558930,331474,89719
FL-22,83106,120454,49114,671277,407972,384699,23273,441,384699,2393,36519,14095,5960,43611,22765,6617,33140,69986,79636,39833,17951,12193,798080,678548,468586,306794,119532
FL-23,90649,136506,57758,679788,426408,411260,15148,901,411260,478,32684,21663,11739,45433,24241,8253,40750,71498,75221,42046,24363,12891,794052,718926,557778,255463,75126
FL-24,72293,108504,40271,676456,451521,422546,28975,1974,422546,1859,31088,16609,10022,46245,37497,8185,35040,60969,88334,54618,19746,12334,823775,701917,483702,264593,121858
FL-25,87097,127784,47113,652303,436648,416952,19696,598,416952,919,25421,23172,11254,51395,30159,7376,35713,66268,79933,43838,21699,19805,804129,718092,560660,210299,86037
FL-26,75619,103100,36884,712452,441505,425166,16339,483,425166,3633,47240,25241,12498,45772,37238,5482,26940,57586,83463,42602,25337,12134,843521,736839,515534,279960,106682
FL-27,82215,137571,54302,663526,440227,426974,13253,238,426974,1578,32422,15695,8829,41485,36234,11567,41517,69391,88663,45069,21338,13186,784676,708708,526619,226532,75968
FL-28,83629,108791,36222,647838,413794,400858,12936,1387,400858,9066,40274,13567,9378,40151,37021,5135,28175,51460,91787,33968,22873,18003,783075,690320,462456,267101,92755
GE-01,72484,94772,37838,648139,391300,367987,23313,17441,367987,3517,25033,34561,7156,45330,26356,3743,18889,39234,82137,39091,17693,25247,776165,681279,505573,280911,94886
GE-02,51802,71780,29673,607076,331835,308486,23349,13147,308486,9184,17301,30839,5380,34762,21781,5165,18905,27595,75034,25998,13830,22712,723387,634271,406870,328422,89116
GE-03,83442,106225,40084,640906,395709,377533,18176,1663,377533,1898,30476,46187,6189,39556,34942,7090,17947,40571,80883,35510,17885,18399,791395,709642,550839,252105,81753
GE-04,71524,102948,40076,606499,421340,399862,21478,40,399862,873,31404,26573,7510,45277,34754,10624,26664,65182,76800,40314,18863,15024,756871,619128,455365,233294,137743
GE-05,80567,118663,52537,637716,447084,422229,24855,319,422229,900,19392,23842,6530,38384,34346,17214,29993,84607,89230,41652,17533,18606,763044,680282,534738,210072,82762
GE-06,90929,133097,54832,647293,458303,436839,21464,1306,436839,511,28323,27104,8614,44435,42794,12858,34619,74621,90881,34006,17048,21025,798558,694376,552007,219076,104182
GE-07,135546,177919,64991,644260,441519,428686,12833,740,428686,2450,28452,30942,10078,43359,15512,14379,43859,97304,80004,35097,15396,11854,812481,754145,662819,163237,58336
GE-08,61302,84346,32113,623105,353920,341242,12678,7286,341242,8135,20107,37693,5882,42992,24183,4186,17253,25427,82950,27987,16090,28357,758794,653739,460393,287441,105055
GE-09,84963,111045,40288,667040,419205,403978,15227,617,403978,6109,36424,48365,10818,49909,24912,6994,23057,48266,77255,35771,21260,14838,821601,714796,553319,261682,106805
