CD,DEMOCRAT,REPUBLICAN,MARGIN
wi-01,47.0,51.5,-4.5
wi-02,69.3,29.2,40.1
wi-03,45.5,52.9,-7.4
wi-04,74.9,23.4,51.6
wi-05,38.3,60.4,-22.2
wi-06,41.1,57.6,-16.5
wi-07,38.0,60.5,-22.5
wi-08,41.2,57.5,-16.3
wv-01,26.9,71.3,-44.4
wv-02,29.2,68.8,-39.6
wy-00,26.1,72.3,-46.2
