CD,DEM,REP,MARGIN,REMAIN
tn-06,32,68,-36.00,0.00
tn-07,38.05,59.5,-21.45,2.45
tn-08,25.59,72.34,-46.75,2.07
tn-09,71.31,25.66,45.65,3.03
tx-01,--,100,--,0.00
tx-02,34.34,65.66,-31.32,0.00
tx-03,37.55,62.45,-24.90,0.00
tx-04,31.62,68.38,-36.76,0.00
tx-05,35.92,64.08,-28.16,0.00
tx-06,34.32,65.68,-31.36,0.00
tx-07,61.28,38.72,22.56,0.00
tx-08,31.78,68.22,-36.44,0.00
tx-09,100,--,--,0.00
tx-10,34.01,63.6,-29.59,2.39
tx-11,--,100,--,0.00
tx-12,36.55,63.45,-26.90,0.00
tx-13,--,100,--,0.00
tx-14,31.31,68.69,-37.38,0.00
tx-15,42.89,57.11,-14.22,0.00
tx-16,59.5,40.43,19.07,0.07
tx-17,33.65,66.35,-32.70,0.00
tx-18,69.42,30.55,38.87,0.03
tx-19,--,80.69,--,19.31
tx-20,100,--,--,0.00
tx-21,36.06,61.85,-25.79,2.09
tx-22,37.88,62.12,-24.24,0.00
tx-23,37.7,62.3,-24.60,0.00
tx-24,39.7,60.3,-20.60,0.00
tx-25,--,99.37,--,0.63
tx-26,35.67,62.07,-26.40,2.26
tx-27,33.96,66.04,-32.08,0.00
tx-28,52.81,47.19,5.62,0.00
tx-29,65.29,34.71,30.58,0.00
tx-30,84.89,--,--,15.11
tx-31,35.57,64.43,-28.86,0.00
tx-32,60.45,36.97,23.48,2.58
tx-33,68.79,31.21,37.58,0.00
tx-34,51.29,48.71,2.58,0.00
tx-35,67.36,32.64,34.72,0.00
tx-36,30.64,69.36,-38.72,0.00
tx-37,74.22,23.58,50.64,2.20
tx-38,37.24,62.73,-25.49,0.03
ut-01,32.06,63.13,-31.07,4.81
ut-02,34.23,58,-23.77,7.77
ut-03,33.61,66.39,-32.78,0.00
ut-04,30.2,63.42,-33.22,6.38
va-01,43.53,56.31,-12.78,0.16
va-02,46.9,50.74,-3.84,2.36
va-03,69.95,29.84,40.11,0.21
va-04,67.34,32.44,34.90,0.22
va-05,42.27,57.26,-14.99,0.47
va-06,34.64,63.26,-28.62,2.10
va-07,51.18,48.54,2.64,0.28
